t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
4650,1,18,3025,14783,optimal,6.954744686398479,0.05243500001961365
4650,2,18,3025,14838,optimal,6.949799688657385,0.06114479200914502
4800,0,18,3025,14181,optimal,6.647379947222169,0.05199116701260209
4800,1,18,3025,14668,optimal,6.646295507914215,0.0522667919867672
4800,2,18,3025,14727,optimal,6.63998311038998,0.05405900004552677
4950,0,18,3025,14109,optimal,6.356286591001745,0.05733679101103917
4950,1,18,3025,14536,optimal,6.355924578672355,0.05161233397666365
4950,2,18,3025,14639,optimal,6.348117715278276,0.053560499974992126
5100,0,18,3025,14019,optimal,6.111888669748334,0.05790187499951571
5100,1,18,3025,14390,optimal,6.112884402839979,0.05139204201987013
5100,2,18,3025,14492,optimal,6.108487898007021,0.05090437503531575
5250,0,18,3025,13848,optimal,5.878485830325874,0.052549707994330674
5250,1,18,3025,14188,optimal,5.879266300565779,0.050446333014406264
5250,2,18,3025,14244,optimal,5.878276765058097,0.050514375034254044
5400,0,26,6993,17353,optimal,10.509215872095876,1.192098375002388
5400,1,26,6993,17911,optimal,10.513695108652334,1.5399132500169799
5400,2,26,6993,18213,optimal,10.50993096808582,1.3558772910037078
5550,0,26,4369,17068,optimal,10.110181471835975,0.08166574995266274
5550,1,26,4369,17626,optimal,10.10951915768404,0.0757656249916181
5550,2,26,4369,17944,optimal,10.100662304163626,0.08013954199850559
5700,0,25,4201,16458,optimal,9.36150577414327,0.07485216605709866
5700,1,25,4201,16929,optimal,9.357924974335544,0.07376712502446026
5700,2,25,4201,17136,optimal,9.333147815916423,0.07179058302426711
5850,0,25,4201,16562,optimal,8.6025105283845,0.07777970895403996
5850,1,25,4201,16971,optimal,8.598493137519133,0.07306133297970518
5850,2,25,4201,17160,optimal,8.582878290953689,0.0798075000056997
6000,0,25,4201,16570,optimal,7.8946834769919985,0.07189945899881423
6000,1,25,4201,16921,optimal,7.892260369529807,0.07116750004934147
6000,2,25,4201,17043,optimal,7.884150776368059,0.07736641704104841
6150,0,24,4033,16186,optimal,7.387691048447925,0.0689178750035353
6150,1,24,4033,16436,optimal,7.3892136613571004,0.06748425000114366
