t_s,level,iter,n_active,n_vars,n_rows,status,objective,wall_s
6900,depth,1,21,3529,16499,optimal,5.715021386829224,0.06677400000626221
7050,depth,0,21,3529,14604,optimal,5.538005789265611,0.05654925003182143
7050,route,,21,1665,12205,optimal,27355215550.007645,0.03123349999077618
7050,depth,1,21,3529,16362,optimal,5.538136924623977,0.05907745799049735
7200,depth,0,29,7497,17912,optimal,10.154803990319277,1.337616957956925
7200,route,,29,2295,13354,optimal,214176443285.56363,0.03277379198698327
7200,depth,1,29,7497,20243,optimal,10.155862765877353,1.2034537500003353
7350,depth,0,29,4873,17812,optimal,9.553704951443084,0.08865095902001485
7350,route,,29,2181,12412,optimal,192592435178.54593,0.03037900000344962
7350,depth,1,29,4873,19878,optimal,9.565803949470157,0.08765704202232882
7500,depth,0,28,4705,17578,optimal,8.83353592731247,0.08367750002071261
7500,route,,28,2061,11394,optimal,136704030651.31564,0.02830133296083659
7500,depth,1,28,4705,19537,optimal,8.84974712021127,0.0822278750129044
7650,depth,0,27,4537,16705,optimal,8.13376926685482,0.08278229099232703
7650,route,,27,1970,10870,optimal,105665302284.46695,0.031865541997831315
7650,depth,1,27,4537,18276,optimal,8.149444552119713,0.07757783296983689
7800,depth,0,24,4033,14656,optimal,7.564488031249253,0.06409150001127273
7800,route,,24,1920,10735,optimal,92321804706.29236,0.02613416704116389
7800,depth,1,24,4033,15896,optimal,7.580019306875412,0.0726379580446519
7950,depth,0,24,4033,14803,optimal,7.085769183884238,0.06447974999900907
7950,route,,24,1902,10923,optimal,122948753990.74379,0.02598154201405123
7950,depth,1,24,4033,15788,optimal,7.0964590188558665,0.06671475002076477
8100,depth,0,23,3865,14540,optimal,6.715416497758878,0.06732733297394589
8100,route,,23,1872,11153,optimal,181453569372.23257,0.02688949997536838
8100,depth,1,23,3865,15250,optimal,6.722662734946677,0.06849450001027435
8250,depth,0,23,3865,14786,optimal,6.421111103566033,0.06577141699381173
8250,route,,23,1836,11384,optimal,230877037444.83545,0.02593341696774587
8250,depth,1,23,3865,15354,optimal,6.425896826657287,0.06284641701495275
8400,depth,0,23,3865,15179,optimal,6.134179669844623,0.07016541698249057
8400,route,,23,1794,11683,optimal,244105560539.51727,0.027830042003188282
8400,depth,1,23,3865,15811,optimal,6.135855032081618,0.06837908300803974
8550,depth,0,23,3865,15571,optimal,5.918989206011245,0.06365424999967217
8550,route,,23,1755,11907,optimal,253419187658.89038,0.03447249997407198
8550,depth,1,23,3865,16522,optimal,5.919233799320308,0.07617433299310505
8700,depth,0,23,3865,15941,optimal,5.7226056998822425,0.06939162500202656
8700,route,,23,1715,12076,optimal,286422603008.9131,0.02685016702162102
8700,depth,1,23,3865,17018,optimal,5.722621203022066,0.06535416597034782
8850,depth,0,21,3529,15428,optimal,5.55863145028949,0.06394183298107237
8850,route,,21,1644,12025,optimal,261662596385.38815,0.026249000045936555
8850,depth,1,21,3529,16631,optimal,5.558627839512185,0.06565091700758785
9000,depth,0,29,7497,19178,optimal,10.434432571239803,2.504689625056926
9000,route,,29,2331,14453,optimal,210421090706.55405,0.03385275002801791
9000,depth,1,29,7497,20753,optimal,10.445965622252869,1.6810901669668965
9000,route,,29,2351,14435,optimal,110482806774.4292,0.035122625005897135
9000,depth,2,29,7497,20965,optimal,10.44990919433298,2.051573707954958
9150,depth,0,28,4705,18490,optimal,9.67228984604973,0.0796434169751592
9150,route,,28,2299,14561,optimal,155454699541.60605,0.03316074999747798
9150,depth,1,28,4705,20136,optimal,9.68258003801491,0.09283462498569861
9300,depth,0,28,4705,18814,optimal,8.831262096581321,0.08261824998771772
9300,route,,28,2283,14832,optimal,170468112685.2911,0.03231808403506875
9300,depth,1,28,4705,20368,optimal,8.838044987659877,0.08401741698617116
9450,depth,0,28,4705,19305,optimal,8.055684115261021,0.09235612495103851
9450,route,,28,2285,15302,optimal,192883622077.7632,0.03398845798801631
9450,depth,1,28,4705,20720,optimal,8.05968967301403,0.08739762497134507
9600,depth,0,27,4537,19297,optimal,7.405618376118352,0.08487045904621482
9600,route,,27,2233,15413,optimal,169537512870.54675,0.0328632079763338
9600,depth,1,27,4537,20518,optimal,7.409421319071538,0.07998554199002683
9750,depth,0,27,4537,19762,optimal,6.942419478254831,0.0908751250244677
9750,route,,27,2159,15338,optimal,135650681550.2923,0.032420124975033104
9750,depth,1,27,4537,21103,optimal,6.954458200746284,0.08025770797394216
9900,depth,0,27,4537,20150,optimal,6.5587929933002105,0.09277716703945771
9900,route,,27,2079,15180,optimal,138805414066.93985,0.03328733303351328
9900,depth,1,27,4537,21896,optimal,6.561735117938937,0.0869487919844687
10050,depth,0,27,4537,20485,optimal,6.192985452773976,0.08670933300163597
10050,route,,27,1993,14864,optimal,151004454655.8029,0.034401040989905596
10050,depth,1,27,4537,22577,optimal,6.194456742488895,0.0934066660120152
10200,depth,0,27,4537,20680,optimal,5.91808831108195,0.07909495796775445
10200,route,,27,1908,14470,optimal,129518485715.21817,0.03377512498991564
10200,depth,1,27,4537,22982,optimal,5.919540371106809,0.08797520800726488
10350,depth,0,27,4537,20779,optimal,5.709676732713804,0.09814512502634898
10350,route,,27,1788,13867,optimal,154723181934.00842,0.0313319590059109
10350,depth,1,27,4537,22867,optimal,5.711012238102882,0.09392033400945365
10500,depth,0,24,4033,18730,optimal,5.527313793562876,0.06940912496065721
10500,route,,24,1681,13397,optimal,98804132727.34462,0.028623958001844585
