t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
1160,Sao-Paulo,2,10.83,0,0→2→7,2,45.856,True
1170,Tokyo,,,0,UNREACHABLE,,,False
1170,Sao-Paulo,2,10.99,0,0→2→7,2,45.823,True
1180,Tokyo,,,0,UNREACHABLE,,,False
1180,Sao-Paulo,2,11.1,0,0→2→7,2,45.798,True
1190,Tokyo,,,0,UNREACHABLE,,,False
1190,Sao-Paulo,2,11.18,0,0→2→7,2,45.782,True
1200,Tokyo,,,0,UNREACHABLE,,,False
1200,Sao-Paulo,2,11.21,0,0→2→7,2,45.775,True
1210,Tokyo,,,0,UNREACHABLE,,,False
1210,Sao-Paulo,2,11.2,0,0→2→7,2,45.777,True
1220,Tokyo,,,0,UNREACHABLE,,,False
1220,Sao-Paulo,2,11.15,0,0→2→7,2,45.787,True
1230,Tokyo,,,0,UNREACHABLE,,,False
1230,Sao-Paulo,2,11.06,0,0→2→7,2,45.807,True
1240,Tokyo,,,0,UNREACHABLE,,,False
1240,Sao-Paulo,2,10.93,0,0→2→7,2,45.835,True
1250,Tokyo,,,0,UNREACHABLE,,,False
1250,Sao-Paulo,2,10.76,0,0→2→7,2,45.873,True
1260,Tokyo,,,0,UNREACHABLE,,,False
1260,Sao-Paulo,2,10.55,0,0→2→7,2,45.918,True
1270,Tokyo,,,0,UNREACHABLE,,,False
1270,Sao-Paulo,2,10.3,0,0→2→7,2,45.972,True
1280,Tokyo,,,0,UNREACHABLE,,,False
1280,Sao-Paulo,2,10.03,0,0→2→7,2,46.034,True
1290,Tokyo,,,0,UNREACHABLE,,,False
1290,Sao-Paulo,,,0,UNREACHABLE,,,False
1300,Tokyo,,,0,UNREACHABLE,,,False
1300,Sao-Paulo,,,0,UNREACHABLE,,,False
1310,Tokyo,,,0,UNREACHABLE,,,False
1310,Sao-Paulo,,,0,UNREACHABLE,,,False
1320,Tokyo,,,0,UNREACHABLE,,,False
1320,Sao-Paulo,,,0,UNREACHABLE,,,False
1330,Tokyo,,,0,UNREACHABLE,,,False
1330,Sao-Paulo,,,0,UNREACHABLE,,,False
1340,Tokyo,,,0,UNREACHABLE,,,False
1340,Sao-Paulo,,,0,UNREACHABLE,,,False
1350,Tokyo,,,0,UNREACHABLE,,,False
1350,Sao-Paulo,,,0,UNREACHABLE,,,False
1360,Tokyo,,,0,UNREACHABLE,,,False
1360,Sao-Paulo,,,0,UNREACHABLE,,,False
1370,Tokyo,,,0,UNREACHABLE,,,False
1370,Sao-Paulo,,,0,UNREACHABLE,,,False
1380,Tokyo,,,0,UNREACHABLE,,,False
1380,Sao-Paulo,,,0,UNREACHABLE,,,False
1390,Tokyo,,,0,UNREACHABLE,,,False
1390,Sao-Paulo,,,0,UNREACHABLE,,,False
1400,Tokyo,,,0,UNREACHABLE,,,False
1400,Sao-Paulo,,,0,UNREACHABLE,,,False
1410,Tokyo,,,0,UNREACHABLE,,,False
1410,Sao-Paulo,,,0,UNREACHABLE,,,False
1420,Tokyo,,,0,UNREACHABLE,,,False
1420,Sao-Paulo,,,0,UNREACHABLE,,,False
1430,Tokyo,,,0,UNREACHABLE,,,False
1430,Sao-Paulo,,,0,UNREACHABLE,,,False
1440,Tokyo,,,0,UNREACHABLE,,,False
1440,Sao-Paulo,,,0,UNREACHABLE,,,False
1450,Tokyo,,,0,UNREACHABLE,,,False
1450,Sao-Paulo,,,0,UNREACHABLE,,,False
1460,Tokyo,,,0,UNREACHABLE,,,False
1460,Sao-Paulo,,,0,UNREACHABLE,,,False
1470,Tokyo,,,0,UNREACHABLE,,,False
1470,Sao-Paulo,,,0,UNREACHABLE,,,False
1480,Tokyo,,,0,UNREACHABLE,,,False
1480,Sao-Paulo,,,0,UNREACHABLE,,,False
1490,Tokyo,,,0,UNREACHABLE,,,False
