t_s,delivered_images,utility,backlog_bits,n_active
9570,8506283.8,40.7852,3167831629,13
9600,8535457.2,40.9437,3085679279,12
9630,8564630.6,41.102,3003526929,12
9660,8593142.2,41.2597,2923238264,12
9690,8619884.5,41.4165,2847931943,11
9720,8646626.8,41.5732,2772625622,11
9750,8673369.1,41.73,2697319301,11
9780,8700111.4,41.8867,2622012980,11
9810,8726853.7,42.043,2546706659,11
9840,8753596.0,42.1986,2471400338,11
9870,8780338.3,42.3534,2396094018,11
9900,8807080.6,42.5075,2320787697,11
9930,8833822.9,42.661,2245481376,11
9960,8860565.2,42.814,2170175055,11
9990,8887307.5,42.9665,2094868734,11
10020,8914049.8,43.1186,2019562413,11
10050,8940792.1,43.2702,1944256092,11
10080,8967534.5,43.4215,1868949771,11
10110,8994276.8,43.5725,1793643450,11
10140,9021019.1,43.7232,1718337129,11
10170,9047761.4,43.8734,1643030808,11
10200,9074503.7,44.0222,1567724488,11
10230,9101246.0,44.1696,1492418167,11
10260,9127988.3,44.3158,1417111846,11
10290,9154730.6,44.4609,1341805525,11
10320,9181472.9,44.605,1266499204,11
10350,9206349.1,44.7464,1196447772,11
10380,9228229.1,44.881,1134833509,9
10410,9247673.8,45.0023,1080077494,9
10440,9263679.8,45.095,1035004511,7
10470,9278266.5,45.1764,993928336,6
10500,9292853.2,45.2578,952852161,6
10530,9307439.9,45.3392,911775986,6
10560,9322026.6,45.4206,870699811,6
10590,9336613.3,45.502,829623636,6
10620,9351200.0,45.5834,788547461,6
10650,9365786.8,45.6648,747471286,6
10680,9380373.5,45.7462,706395111,6
10710,9394960.2,45.8276,665318936,6
10740,9409027.9,45.9073,625704210,6
10770,9421183.5,45.9808,591474064,5
10800,9452788.0,46.1558,5294893733,13
10830,9484392.6,46.3307,5205895353,13
10860,9515997.1,46.5042,5116896974,13
10890,9547601.6,46.6766,5027898595,13
10920,9579206.2,46.8478,4938900216,13
10950,9610810.7,47.0181,4849901836,13
10980,9640320.3,47.1801,4766802772,13
11010,9669493.8,47.3411,4684650422,12
11040,9698667.2,47.502,4602498072,12
11070,9727162.3,47.6591,4522255764,12
11100,9753904.6,47.8066,4446949443,11
11130,9780646.9,47.9541,4371643122,11
11160,9807389.2,48.1016,4296336801,11
11190,9834131.5,48.2491,4221030480,11
11220,9860873.8,48.3965,4145724159,11
11250,9887616.1,48.544,4070417838,11
11280,9914358.4,48.6915,3995111517,11
11310,9939396.5,48.8262,3924604304,11
11340,9963707.7,48.9555,3856144012,10
11370,9987748.4,49.0828,3788445350,10
11400,10009628.5,49.1945,3726831088,9
11430,10031508.5,49.3062,3665216825,9
11460,10053388.6,49.4179,3603602563,9
11490,10075268.7,49.5296,3541988300,9
11520,10097148.7,49.6413,3480374038,9
11550,10119028.8,49.753,3418759775,9
11580,10140908.8,49.8647,3357145512,9
11610,10162788.9,49.9764,3295531250,9
11640,10184669.0,50.0881,3233916987,9
11670,10206549.0,50.1998,3172302725,9
11700,10228429.1,50.3115,3110688462,9
11730,10250309.2,50.4231,3049074200,9
11760,10272189.2,50.5348,2987459937,9
11790,10292488.2,50.6397,2930298113,9
11820,10311937.1,50.7414,2875529879,8
11850,10331386.1,50.843,2820761646,8
11880,10350835.0,50.9447,2765993413,8
11910,10370284.0,51.0463,2711225179,8
11940,10389732.9,51.148,2656456946,8
11970,10409181.9,51.2496,2601688713,8
12000,10428630.8,51.3513,2546920479,8
12030,10448079.8,51.453,2492152246,8
12060,10467528.7,51.5546,2437384012,8
12090,10486977.6,51.6563,2382615779,8
12120,10506426.6,51.7579,2327847546,8
12150,10525875.5,51.8596,2273079312,8
12180,10545324.5,51.9612,2218311079,8
12210,10564773.4,52.0629,2163542845,8
12240,10584222.4,52.1645,2108774612,8
12270,10603671.3,52.2662,2054006379,8
12300,10623120.3,52.3678,1999238145,8
12330,10641407.1,52.4608,1947742533,8
12360,10658424.9,52.5443,1899820329,7
12390,10675442.7,52.6277,1851898124,7
12420,10692460.6,52.7112,1803975920,7
12450,10709478.4,52.7946,1756053716,7
12480,10726496.2,52.8781,1708131512,7
12510,10743514.0,52.9616,1660209308,7
12540,10760531.9,53.045,1612287103,7
12570,10777549.7,53.1285,1564364899,7
12600,10812506.2,53.3205,5624860737,15
12630,10846541.9,53.5038,5529016329,14
12660,10880577.6,53.686,5433171920,14
12690,10914613.2,53.8672,5337327512,14
12720,10948648.9,54.0475,5241483103,14
12750,10980949.7,54.2168,5150523916,14
12780,11012554.3,54.3812,5061525537,13
12810,11044158.8,54.545,4972527158,13
12840,11075763.3,54.7081,4883528779,13
12870,11107367.9,54.8707,4794530399,13
12900,11138972.4,55.0324,4705532020,13
12930,11170577.0,55.1933,4616533641,13
12960,11202181.5,55.3535,4527535262,13
12990,11233786.0,55.5129,4438536882,13
13020,11264893.7,55.6692,4350937699,13
13050,11294067.1,55.815,4268785349,12
13080,11323240.5,55.9603,4186632999,12
13110,11352414.0,56.1052,4104480649,12
13140,11381587.4,56.2496,4022328299,12
13170,11410760.8,56.3937,3940175949,12
13200,11439934.2,56.5374,3858023599,12
13230,11469107.6,56.6808,3775871249,12
13260,11498281.1,56.824,3693718899,12
13290,11527454.5,56.9669,3611566548,12
13320,11556627.9,57.1096,3529414198,12
13350,11585801.3,57.2521,3447261848,12
13380,11614974.7,57.3944,3365109498,12
13410,11644148.1,57.5365,3282957148,12
13440,11673321.6,57.6785,3200804798,12
13470,11702495.0,57.8203,3118652448,12
13500,11731668.4,57.9621,3036500098,12
13530,11760841.8,58.1037,2954347748,12
13560,11790015.2,58.2452,2872195398,12
13590,11819188.7,58.3866,2790043048,12
13620,11848362.1,58.528,2707890698,12
13650,11877535.5,58.6692,2625738347,12
13680,11906708.9,58.8104,2543585997,12
13710,11935882.3,58.9516,2461433647,12
13740,11965055.8,59.0927,2379281297,12
13770,11994229.2,59.2335,2297128947,12
13800,12023402.6,59.3731,2214976597,12
13830,12052576.0,59.5115,2132824247,12
13860,12081749.4,59.6488,2050671897,12
13890,12110922.9,59.7852,1968519547,12
13920,12140096.3,59.9207,1886367197,12
13950,12168351.2,60.0527,1806801459,12
13980,12195093.5,60.1802,1731495138,11
14010,12221835.8,60.3077,1656188817,11
14040,12245274.4,60.4218,1590185698,11
14070,12267154.4,60.5201,1528571435,9
14100,12289034.5,60.6185,1466957173,9
14130,12309764.3,60.7149,1408582017,9
14160,12329213.3,60.8091,1353813784,8
14190,12348662.2,60.9032,1299045551,8
14220,12366184.1,60.9786,1249703790,8
14250,12380770.9,61.0298,1208627615,6
14280,12395357.6,61.081,1167551440,6
14310,12409944.3,61.1322,1126475265,6
14340,12424531.0,61.1834,1085399090,6
14370,12439117.7,61.2346,1044322915,6
14400,12453704.4,61.2857,1003246740,6
14430,12468291.1,61.3369,962170565,6
14460,12482384.3,61.3881,922484234,6
14490,12494539.9,61.4392,888254089,5
14520,12506695.5,61.4904,854023943,5
14550,12518699.2,61.5402,820221290,5
14580,12528423.7,61.5696,792837174,4
14610,12538148.2,61.5984,765453057,4
14640,12546983.5,61.6247,740572825,4
14670,12554276.8,61.6477,720034738,3
14700,12561570.2,61.6708,699496650,3
14730,12568863.6,61.6938,678958563,3
14760,12576156.9,61.7168,658420475,3
14790,12583450.3,61.7398,637882388,3
14820,12590743.6,61.7628,617344300,3
14850,12598037.0,61.7858,596806212,3
14880,12605330.3,61.8088,576268125,3
14910,12612623.7,61.8318,555730037,3
14940,12619917.0,61.8548,535191950,3
14970,12627210.4,61.8778,514653862,3
15000,12634503.8,61.9008,494115775,3
15030,12641797.1,61.9238,473577687,3
15060,12649090.5,61.9468,453039600,3
15090,12656383.8,61.9698,432501512,3
15120,12663677.2,61.9928,411963425,3
15150,12670970.5,62.0158,391425337,3
15180,12678263.9,62.0386,370887250,3
15210,12685557.2,62.0605,350349162,3
15240,12692850.6,62.0816,329811075,3
15270,12700143.9,62.1019,309272987,3
15300,12707437.3,62.1212,288734900,3
15330,12714730.7,62.1395,268196812,3
15360,12722024.0,62.157,247658725,3
15390,12729317.4,62.1738,227120637,3
15420,12736610.7,62.1898,206582550,3
15450,12743904.1,62.2053,186044462,3
15480,12751197.4,62.2201,165506375,3
15510,12758490.8,62.2345,144968287,3
15540,12763040.7,62.2416,132155688,3
15570,12765471.8,62.243,125309659,1
15600,12767902.9,62.2443,118463629,1
15630,12770334.1,62.2455,111617600,1
15660,12772765.2,62.2466,104771571,1
15690,12775196.3,62.2475,97925542,1
15720,12777627.4,62.2484,91079513,1
15750,12780058.5,62.2492,84233484,1
15780,12782489.7,62.2499,77387454,1
15810,12784920.8,62.2505,70541425,1
15840,12787351.9,62.2511,63695396,1
15870,12789783.0,62.2516,56849367,1
15900,12792214.1,62.2521,50003338,1
15930,12794645.3,62.2525,43157309,1
15960,12797076.4,62.2529,36311279,1
15990,12799507.5,62.2533,29465250,1
16020,12801938.6,62.2536,22619221,1
16050,12804369.7,62.2539,15773192,1
16080,12806800.8,62.2542,8927163,1
16110,12809232.0,62.2544,2081134,1
16140,12809971.0,62.2545,0,1
