t_s,delivered_images,utility,backlog_bits,n_active
9720,8449360.4,81.486,9050233105,12
9750,8472986.1,81.7623,8842848988,12
9780,8504447.3,82.0221,8635464872,12
9810,8522858.5,82.272,8428080755,12
9840,8544165.3,82.5908,8220696638,12
9870,8570798.9,82.9528,8013312522,12
9900,8589210.1,83.2537,7805928405,12
9930,8613091.3,83.501,7598544288,12
9960,8634398.1,83.7785,7391160171,12
9990,8655705.0,84.0352,7183776055,12
10020,8677011.8,84.3466,6976391938,12
10050,8700749.7,84.6898,6769007821,12
10080,8719161.0,84.9289,6561623705,11
10110,8740467.8,85.238,6354239588,11
10140,8758879.0,85.4758,6146855471,11
10170,8780185.8,85.7223,5939471355,11
10200,8817472.8,85.9678,5732087238,11
10230,8853148.7,86.22,5524703121,11
10260,8877351.1,86.4799,5317319005,11
10290,8898657.9,86.7858,5109934888,11
10320,8919964.8,87.0192,4902550771,11
10350,8954720.0,87.2856,4695166654,11
10380,8988538.1,87.5663,4487782538,9
10410,9033582.9,87.9023,4280398421,9
10440,9061635.7,88.2281,4084411190,8
10470,9104249.3,88.549,3904411190,7
10500,9132276.3,88.8341,3724411190,7
10530,9153583.1,89.164,3544411190,7
10560,9174889.9,89.4668,3364411190,7
10590,9196196.7,89.7236,3184411190,7
10620,9217503.5,89.9977,3004411190,7
10650,9251972.6,90.2882,2824411190,7
10680,9273279.4,90.5499,2644411190,7
10710,9299912.9,90.9073,2464411190,7
10740,9342526.5,91.2312,2284411190,6
10770,9364584.4,91.4822,2104411190,6
10800,9396688.0,91.8192,14590589186,14
10830,9416779.2,92.0987,14383205069,14
10860,9443625.1,92.3772,14175820952,14
10890,9477690.2,92.6508,13968436836,14
10920,9497316.9,92.9234,13761052719,14
10950,9522270.4,93.2356,13553668602,14
10980,9546176.5,93.5395,13346284485,14
11010,9565981.1,93.8199,13138900369,13
11040,9589719.0,94.1331,12931516252,13
11070,9613457.0,94.3585,12724132135,13
11100,9642521.6,94.6945,12516748019,13
11130,9663255.2,94.9851,12309363902,13
11160,9689206.7,95.192,12101979785,13
