gs,sat,start_s,end_s,duration_s
Tokyo,207,12960,13230,270
Tokyo,208,12780,13050,270
Tokyo,209,12630,12870,240
Tokyo,210,12450,12690,240
Tokyo,211,12270,12480,210
Tokyo,212,12090,12300,210
Tokyo,213,11910,12120,210
Tokyo,213,17940,18000,60
Tokyo,214,11730,11940,210
Tokyo,214,17760,18000,240
Tokyo,215,11580,11760,180
Tokyo,215,17580,17940,360
Tokyo,216,11400,11550,150
Tokyo,216,17400,17760,360
Tokyo,217,11220,11370,150
Tokyo,217,17220,17580,360
Tokyo,218,11070,11190,120
Tokyo,218,17040,17400,360
Tokyo,219,10890,10980,90
Tokyo,219,16860,17220,360
Tokyo,220,10710,10800,90
Tokyo,220,16680,17040,360
Tokyo,221,10560,10590,30
Tokyo,221,16500,16860,360
Tokyo,222,16320,16680,360
Tokyo,223,16140,16500,360
Tokyo,224,15990,16320,330
Tokyo,225,15810,16140,330
Tokyo,226,15630,15960,330
Tokyo,227,15450,15780,330
Tokyo,228,15270,15600,330
Tokyo,229,15090,15420,330
Tokyo,230,14910,15240,330
Tokyo,231,14730,15060,330
Tokyo,232,14550,14880,330
Tokyo,233,14370,14700,330
Tokyo,234,14190,14520,330
Tokyo,235,14010,14340,330
Tokyo,236,13860,14160,300
Tokyo,237,13680,13980,300
Tokyo,238,13440,13560,120
Tokyo,239,13290,13380,90
Tokyo,240,13110,13170,60
Tokyo,246,18000,18000,0
Tokyo,247,17820,18000,180
Tokyo,248,17640,18000,360
Tokyo,249,17490,17820,330
Tokyo,250,17310,17640,330
Tokyo,251,17130,17460,330
Tokyo,252,16950,17280,330
Tokyo,253,16770,17070,300
Tokyo,254,16590,16890,300
Tokyo,255,16410,16710,300
Tokyo,256,16230,16530,300
Tokyo,257,16050,16350,300
Tokyo,258,15900,16170,270
Tokyo,259,15720,15990,270
Tokyo,260,15540,15810,270
Tokyo,261,15360,15630,270
Tokyo,262,15180,15420,240
Tokyo,263,15000,15240,240
Tokyo,264,14820,15060,240
Tokyo,265,14670,14880,210
Tokyo,266,14490,14700,210
Tokyo,267,14310,14520,210
Tokyo,268,14130,14310,180
Tokyo,269,13980,14130,150
Tokyo,270,13800,13950,150
Tokyo,271,13620,13740,120
Tokyo,272,990,1050,60
Tokyo,273,780,870,90
Tokyo,274,600,690,90
Tokyo,275,390,540,150
Tokyo,276,210,360,150
Tokyo,277,30,180,150
