t_s,delivered_images,utility,backlog_bits,n_active
11130,9780646.9,86.9846,8743286244,11
11160,9807389.2,87.2521,8592673602,11
11190,9834131.5,87.5196,8442060960,11
11220,9860873.8,87.7871,8291448318,11
11250,9887616.1,88.0546,8140835677,11
11280,9914358.4,88.3222,7990223035,11
11310,9939396.5,88.5665,7849208608,11
11340,9963707.7,88.8011,7712288024,10
11370,9987748.4,89.032,7576890701,10
11400,10009628.5,89.2346,7453662176,9
11430,10031508.5,89.4372,7330433651,9
11460,10053388.6,89.6398,7207205125,9
11490,10075268.7,89.8424,7083976600,9
11520,10097148.7,90.045,6960748075,9
11550,10119028.8,90.2476,6837519550,9
11580,10140908.8,90.4502,6714291025,9
11610,10162788.9,90.6528,6591062500,9
11640,10184669.0,90.8554,6467833975,9
11670,10206549.0,91.058,6344605450,9
11700,10228429.1,91.2606,6221376924,9
11730,10250309.2,91.4632,6098148399,9
11760,10272189.2,91.6658,5974919874,9
11790,10292488.2,91.8561,5860596226,9
11820,10311937.1,92.0405,5751059759,8
11850,10331386.1,92.2249,5641523292,8
11880,10350835.0,92.4093,5531986825,8
11910,10370284.0,92.5937,5422450359,8
11940,10389732.9,92.7781,5312913892,8
11970,10409181.9,92.9624,5203377425,8
12000,10428630.8,93.1468,5093840958,8
12030,10448079.8,93.3312,4984304491,8
12060,10467528.7,93.5156,4874768025,8
12090,10486977.6,93.7,4765231558,8
12120,10506426.6,93.8844,4655695091,8
12150,10525875.5,94.0688,4546158624,8
12180,10545324.5,94.2532,4436622158,8
12210,10564773.4,94.4376,4327085691,8
12240,10584222.4,94.622,4217549224,8
12270,10603671.3,94.8063,4108012757,8
12300,10623120.3,94.9907,3998476290,8
12330,10641407.1,95.1594,3895485066,8
12360,10658424.9,95.3107,3799640657,7
12390,10675442.7,95.4621,3703796249,7
12420,10692460.6,95.6135,3607951840,7
12450,10709478.4,95.7649,3512107432,7
12480,10726496.2,95.9163,3416263024,7
12510,10743514.0,96.0677,3320418615,7
12540,10760531.9,96.2191,3224574207,7
12570,10777549.7,96.3705,3128729798,7
12600,10810083.2,96.6665,11263368281,15
12630,10842616.6,96.9664,11080139756,14
12660,10875150.1,97.2645,10896911231,14
12690,10907683.6,97.5607,10713682706,14
12720,10940217.1,97.8554,10530454181,14
12750,10971015.7,98.1299,10356996098,14
12780,11001118.1,98.3957,10187459632,13
12810,11031220.4,98.6603,10017923165,13
12840,11061322.8,98.9238,9848386698,13
12870,11091425.1,99.1863,9678850231,13
12900,11121527.5,99.4471,9509313765,13
12930,11151629.9,99.7065,9339777298,13
12960,11181732.2,99.9645,9170240831,13
12990,11211834.6,100.2213,9000704364,13
13020,11241440.1,100.4724,8833966290,13
13050,11269111.3,100.7044,8678121881,12
13080,11296782.5,100.9355,8522277473,12
13110,11324453.8,101.1657,8366433064,12
13140,11352125.0,101.3953,8210588656,12
13170,11379796.2,101.6241,8054744247,12
13200,11407467.5,101.8524,7898899839,12
13230,11435138.7,102.0801,7743055431,12
13260,11462810.0,102.3073,7587211022,12
13290,11490481.2,102.5341,7431366614,12
13320,11518152.4,102.7604,7275522205,12
13350,11545823.7,102.9864,7119677797,12
13380,11573494.9,103.2121,6963833388,12
13410,11601166.1,103.4375,6807988980,12
13440,11628837.4,103.6626,6652144572,12
13470,11656508.6,103.8874,6496300163,12
13500,11684179.9,104.112,6340455755,12
13530,11711851.1,104.3365,6184611346,12
13560,11739522.3,104.5607,6028766938,12
13590,11767193.6,104.7848,5872922529,12
13620,11794864.8,105.0087,5717078121,12
13650,11822536.0,105.2325,5561233713,12
13680,11850207.3,105.4562,5405389304,12
13710,11877878.5,105.6797,5249544896,12
13740,11905549.7,105.9032,5093700487,12
13770,11933221.0,106.1262,4937856079,12
13800,11960892.2,106.3469,4782011670,12
13830,11988563.5,106.5655,4626167262,12
13860,12016234.7,106.7822,4470322854,12
13890,12043905.9,106.9971,4314478445,12
13920,12071577.2,107.2104,4158634037,12
13950,12098329.9,107.4174,4007962853,12
13980,12123570.0,107.6162,3865810503,11
14010,12148810.1,107.815,3723658153,11
14040,12174050.2,108.0608,3581505803,11
14070,12199290.3,108.3119,3439353453,10
14100,12224530.5,108.5629,3297201103,10
14130,12249770.6,108.8352,3155048753,10
14160,12275010.7,109.1312,3012896402,9
14190,12300250.8,109.4271,2870744052,9
14220,12323563.9,109.6889,2739444648,9
14250,12343941.8,109.9069,2624676415,7
14280,12364319.7,110.125,2509908182,7
14310,12384697.6,110.343,2395139948,7
14340,12405075.5,110.5609,2280371715,7
14370,12425453.3,110.7789,2165603482,7
14400,12445831.2,110.9969,2050835248,7
14430,12466209.1,111.2149,1936067015,7
14460,12482384.3,111.3527,1844968469,7
14490,12494539.9,111.4455,1776508177,5
14520,12506695.5,111.5383,1708047885,5
14550,12518699.2,111.6286,1640442580,5
14580,12528423.7,111.682,1585674347,4
14610,12538148.2,111.7342,1530906114,4
14640,12546983.5,111.782,1481145650,4
14670,12554276.8,111.8237,1440069475,3
14700,12561570.2,111.8654,1398993300,3
14730,12568863.6,111.9072,1357917125,3
14760,12576156.9,111.9489,1316840950,3
14790,12583450.3,111.9906,1275764775,3
14820,12590743.6,112.0323,1234688600,3
14850,12598037.0,112.0741,1193612425,3
14880,12605330.3,112.1158,1152536250,3
14910,12612623.7,112.1575,1111460075,3
14940,12619917.0,112.1992,1070383900,3
14970,12627210.4,112.241,1029307725,3
15000,12634503.8,112.2827,988231550,3
15030,12641797.1,112.3244,947155375,3
15060,12649090.5,112.3661,906079200,3
15090,12656383.8,112.4079,865003025,3
15120,12663677.2,112.4496,823926850,3
15150,12670970.5,112.4913,782850675,3
15180,12678263.9,112.5326,741774499,3
15210,12685557.2,112.5724,700698324,3
15240,12692850.6,112.6106,659622149,3
15270,12700143.9,112.6475,618545974,3
15300,12707437.3,112.6824,577469799,3
15330,12714730.7,112.7157,536393624,3
15360,12722024.0,112.7475,495317449,3
15390,12729317.4,112.7779,454241274,3
15420,12736610.7,112.807,413165099,3
15450,12743904.1,112.835,372088924,3
15480,12751197.4,112.862,331012749,3
15510,12758490.8,112.888,289936574,3
15540,12763040.7,112.9009,264311376,3
15570,12765471.8,112.9035,250619317,1
15600,12767902.9,112.9058,236927259,1
15630,12770334.1,112.908,223235201,1
15660,12772765.2,112.9099,209543142,1
15690,12775196.3,112.9116,195851084,1
15720,12777627.4,112.9132,182159026,1
15750,12780058.5,112.9146,168466967,1
15780,12782489.7,112.9159,154774909,1
15810,12784920.8,112.9171,141082851,1
15840,12787351.9,112.9181,127390792,1
15870,12789783.0,112.9191,113698734,1
15900,12792214.1,112.92,100006676,1
15930,12794645.3,112.9208,86314617,1
15960,12797076.4,112.9215,72622559,1
15990,12799507.5,112.9221,58930500,1
16020,12801938.6,112.9227,45238442,1
16050,12804369.7,112.9232,31546384,1
16080,12806800.8,112.9237,17854325,1
16110,12809232.0,112.9241,4162267,1
16140,12809971.0,112.9242,0,1
16170,12809971.0,112.9242,0,0
16200,12809971.0,112.9242,0,0
16230,12809971.0,112.9242,0,0
16260,12809971.0,112.9242,0,0
16290,12809971.0,112.9242,0,0
16320,12809971.0,112.9242,0,0
16350,12809971.0,112.9242,0,0
16380,12809971.0,112.9242,0,0
16410,12809971.0,112.9242,0,0
16440,12809971.0,112.9242,0,0
16470,12809971.0,112.9242,0,0
16500,12809971.0,112.9242,0,0
16530,12809971.0,112.9242,0,0
16560,12809971.0,112.9242,0,0
16590,12809971.0,112.9242,0,0
16620,12809971.0,112.9242,0,0
16650,12809971.0,112.9242,0,0
16680,12809971.0,112.9242,0,0
16710,12809971.0,112.9242,0,0
16740,12809971.0,112.9242,0,0
16770,12809971.0,112.9242,0,0
16800,12809971.0,112.9242,0,0
16830,12809971.0,112.9242,0,0
16860,12809971.0,112.9242,0,0
16890,12809971.0,112.9242,0,0
16920,12809971.0,112.9242,0,0
16950,12809971.0,112.9242,0,0
16980,12809971.0,112.9242,0,0
17010,12809971.0,112.9242,0,0
17040,12809971.0,112.9242,0,0
17070,12809971.0,112.9242,0,0
17100,12809971.0,112.9242,0,0
17130,12809971.0,112.9242,0,0
17160,12809971.0,112.9242,0,0
17190,12809971.0,112.9242,0,0
17220,12809971.0,112.9242,0,0
17250,12809971.0,112.9242,0,0
17280,12809971.0,112.9242,0,0
17310,12809971.0,112.9242,0,0
17340,12809971.0,112.9242,0,0
17370,12809971.0,112.9242,0,0
17400,12809971.0,112.9242,0,0
17430,12809971.0,112.9242,0,0
17460,12809971.0,112.9242,0,0
17490,12809971.0,112.9242,0,0
17520,12809971.0,112.9242,0,0
17550,12809971.0,112.9242,0,0
17580,12809971.0,112.9242,0,0
17610,12809971.0,112.9242,0,0
17640,12809971.0,112.9242,0,0
17670,12809971.0,112.9242,0,0
17700,12809971.0,112.9242,0,0
17730,12809971.0,112.9242,0,0
17760,12809971.0,112.9242,0,0
17790,12809971.0,112.9242,0,0
17820,12809971.0,112.9242,0,0
17850,12809971.0,112.9242,0,0
17880,12809971.0,112.9242,0,0
17910,12809971.0,112.9242,0,0
17940,12809971.0,112.9242,0,0
17970,12809971.0,112.9242,0,0
18000,12809971.0,112.9242,0,0
